route_name,rows,mae,baseline_mae,within120,month
5,21256,85.42585058660981,89.62591738803161,0.8106887467068122,2026-04-01
6,12561,90.41886792360047,94.88551866889578,0.7514529098001751,2026-04-01
7,97809,107.23029456359757,115.6630933758652,0.6979521311944709,2026-04-01
70,555,206.67304684825606,233.52252252252254,0.5207207207207207,2026-04-01
71,210,69.85965001244189,65.91904761904762,0.8952380952380953,2026-04-01
72,666,68.18478424505936,67.37612612612612,0.8603603603603603,2026-04-01
73,1148,146.17951318381998,173.98998257839722,0.6158536585365854,2026-04-01
74,409,241.04983312466075,255.16992665036676,0.508557457212714,2026-04-01
75,285,43.66229690520637,47.49298245614035,0.9754385964912281,2026-04-01
76,61,115.90867428049323,115.5,0.6885245901639344,2026-04-01
77,420,186.2771571605576,176.16071428571428,0.5261904761904762,2026-04-01
78,63,92.83544620828842,92.76190476190476,0.7301587301587301,2026-04-01
79,1187,198.80281845881055,196.93555181128897,0.548441449031171,2026-04-01
80,413,252.203951652207,248.50726392251815,0.4019370460048426,2026-04-01
81,2223,360.3017412231146,343.20130454340983,0.3076923076923077,2026-04-01
9,97646,114.93867989506089,128.00908383343915,0.6442865043114925,2026-04-01
1,64178,122.23078152289264,128.65139144255042,0.6395493782916264,2026-05-01
10,8089,79.09278791005198,81.3778588206206,0.8263073309432563,2026-05-01
13,8850,100.39565842027257,108.00242937853108,0.7209039548022599,2026-05-01
14,13623,81.8330098840939,82.71962856933128,0.8047419804741981,2026-05-01
16,23070,90.98850716737637,93.74902470741222,0.7487212830515821,2026-05-01
17,40349,89.49506214437962,87.29746709955637,0.7468834419688221,2026-05-01
18,12630,109.14525668641251,112.27406967537608,0.6741092636579572,2026-05-01
2,52364,120.69361975583621,126.50157550989229,0.6734397677793904,2026-05-01
3,80281,105.1641599604149,110.25601948157099,0.6984965309350905,2026-05-01
4,34546,84.98396832801251,86.4510797197939,0.7725641174086725,2026-05-01
5,22513,73.47581855490533,75.38140185670501,0.8267667569848532,2026-05-01
6,12766,95.9602930504223,96.29132069559768,0.7201159329468901,2026-05-01
7,97587,100.42007138986841,105.6519259737465,0.7147673358131719,2026-05-01
70,510,168.35553717567643,178.74313725490197,0.4215686274509804,2026-05-01
71,223,102.64906845604136,103.87892376681614,0.7488789237668162,2026-05-01
72,650,69.11226009481061,68.14,0.8861538461538462,2026-05-01
73,1107,151.59680015301421,153.76784101174346,0.5573622402890696,2026-05-01
74,354,154.3946869573358,152.31214689265536,0.4717514124293785,2026-05-01
75,322,36.99792474816097,33.72826086956522,0.9937888198757764,2026-05-01
76,67,96.04133907238953,116.50746268656717,0.7014925373134329,2026-05-01
77,214,142.2745126026178,148.35046728971963,0.4532710280373832,2026-05-01
78,60,143.40285910921372,144.46666666666667,0.7833333333333333,2026-05-01
79,1160,97.48203130711173,99.29008620689655,0.7379310344827587,2026-05-01
80,404,184.548415346259,177.0990099009901,0.42574257425742573,2026-05-01
81,2100,277.6988652193342,285.38738095238097,0.26285714285714284,2026-05-01
9,95538,117.41253670423957,114.83887563063912,0.6146873495363102,2026-05-01
1,61709,113.17238760804713,119.02694906739697,0.6518174010274028,2026-06-01
10,8262,79.80612548584566,82.70860566448802,0.8127572016460906,2026-06-01
13,8891,103.56479192892752,107.87566078056462,0.7344505679901023,2026-06-01
14,13909,78.14337450525241,80.99076137752535,0.8122079229276008,2026-06-01
16,21884,76.13525013270053,80.54989946993237,0.8044690184609761,2026-06-01
17,41161,83.59548692848911,87.33515949563908,0.7793542430941911,2026-06-01
18,12274,100.14465803507176,105.39709956004563,0.7420563793384389,2026-06-01
2,52919,112.96771275530686,116.90059335966288,0.7037358982596043,2026-06-01
3,79902,102.15655091427887,108.45306750769693,0.7068784260719381,2026-06-01
4,34738,81.9896239294696,85.80725718233634,0.7885600783004203,2026-06-01
5,23389,70.41838261285412,74.17583051861986,0.8398392406686904,2026-06-01
6,12692,86.96427977308693,90.75843050740625,0.745036243302868,2026-06-01
7,98981,95.31407794824192,100.75550863296996,0.7389397965266061,2026-06-01
70,526,163.88374433123806,178.05608365019012,0.4847908745247148,2026-06-01
71,215,67.47195415415499,68.55348837209303,0.8,2026-06-01
72,691,57.18278969859285,55.82127351664255,0.8784370477568741,2026-06-01
73,1076,121.65839761205288,142.12639405204462,0.6226765799256505,2026-06-01
74,304,116.59824009947677,139.4753289473684,0.7006578947368421,2026-06-01
75,293,40.65567243047456,40.21331058020478,0.9726962457337884,2026-06-01
76,62,97.75439692005972,110.61290322580645,0.6290322580645161,2026-06-01
77,288,189.90231198746739,194.86979166666666,0.34375,2026-06-01
78,63,81.71394444182484,84.86507936507937,0.7619047619047619,2026-06-01
79,1110,135.30401001324003,133.66306306306305,0.6036036036036037,2026-06-01
80,333,274.57034035614953,281.92042042042044,0.24324324324324326,2026-06-01
81,1962,266.74646608797417,265.5642201834862,0.27217125382262997,2026-06-01
9,95998,96.39854676089354,99.54511031479822,0.7123065063855497,2026-06-01
